Job Title;Employment Type;Experience Level;Expertise Level;Company Location;Salary in USD;Employee Residence;Company Size;Year
Applied Scientist;Full-Time;Senior;Expert;United States;246500;United States;Medium;2023
Applied Scientist;Full-Time;Senior;Expert;United States;133500;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;134000;United States;Medium;2023
Head of Data Science;Full-Time;Executive;Director;United States;330000;United States;Medium;2023
Head of Data Science;Full-Time;Executive;Director;United States;230000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;218540;United States;Medium;2023
Data Scientist;Full-Time;Mid;Intermediate;United Kingdom;123040;United Kingdom;Medium;2023
Data Scientist;Full-Time;Mid;Intermediate;United Kingdom;73824;United Kingdom;Medium;2023
Data Manager;Full-Time;Mid;Intermediate;United States;167000;United States;Medium;2023
Data Manager;Full-Time;Mid;Intermediate;United States;109000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;193000;United States;Medium;2023
Data Analyst;Full-Time;Entry;Junior;Germany;47899;Germany;Large;2020
Lead Machine Learning Engineer;Full-Time;Senior;Expert;Israel;115000;Moldova, Republic of;Small;2023
Applied Scientist;Full-Time;Senior;Expert;United States;216000;United States;Medium;2023
Applied Scientist;Full-Time;Senior;Expert;United States;184000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;145000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;284000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;227000;United States;Medium;2023
Research Scientist;Full-Time;Senior;Expert;United States;205000;United States;Medium;2023
Research Scientist;Full-Time;Senior;Expert;United States;160000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;191400;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;127600;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;230000;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;139600;United States;Medium;2023
Data Analytics Manager;Full-Time;Mid;Intermediate;India;38915;India;Medium;2023
Data Quality Analyst;Full-Time;Mid;Intermediate;United States;95000;United States;Medium;2023
Data Quality Analyst;Full-Time;Mid;Intermediate;United States;70000;United States;Medium;2023
Data Engineer;Full-Time;Mid;Intermediate;United States;258000;United States;Medium;2023
Data Engineer;Full-Time;Mid;Intermediate;United States;171000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;Canada;87000;Canada;Medium;2023
Data Engineer;Full-Time;Senior;Expert;Canada;73000;Canada;Medium;2023
AI Scientist;Full-Time;Entry;Junior;Turkey;20000;Turkey;Small;2023
Managing Director Data Science;Full-Time;Executive;Director;United States;300000;United States;Large;2020
Data Modeller;Full-Time;Mid;Intermediate;United Kingdom;110736;United Kingdom;Medium;2023
Data Modeller;Full-Time;Mid;Intermediate;United Kingdom;55368;United Kingdom;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;151840;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;163152;United States;Medium;2023
